date,manufacturer,product,sales_value,sales_volume,current_price,category,subcategory,_source_row
2024-07-01,Colavita,Colavita Penne Mezze Rigate 500g,2719.12,34.0,79.97411764705882,Pasta,Macaroni,21
2024-07-01,Colavita,Colavita Penne Rigate Wholewheat 500g,39.99,0.5,79.98,Pasta,Macaroni,22
2024-07-01,Glutagon,Glutagon Pasta Rice Gourmet Penne Rigate 500g,84.99,0.5,169.98,Pasta,Macaroni,23
2024-07-01,Happy Earth People,Happy Earth People Pasta Chickpea 250g,30222.33,127.5,237.03788235294118,Pasta,Macaroni,24
2024-07-01,Happy Earth People,Happy Earth People Pasta Green Pea 250g,10581.78,44.75,236.46435754189946,Pasta,Macaroni,25
2024-07-01,Happy Earth People,Happy Earth People Pasta Red Lentil 250g,27500.51,116.0,237.0733620689655,Pasta,Macaroni,26
2024-07-01,International Food Group,Pasta Joy Elbows 500g,621.42,21.0,29.59142857142857,Pasta,Macaroni,27
2024-07-01,International Food Group,Pasta Joy Fusilli 500g,559.49,17.5,31.97085714285714,Pasta,Macaroni,28
2024-07-01,International Food Group,Pasta Joy Macaroni 3kg,1799.76,60.0,29.996,Pasta,Macaroni,29
2024-07-01,International Food Group,Pasta Joy Macaroni 500g,569.44,19.0,29.970526315789478,Pasta,Macaroni,30
2024-07-01,International Food Group,Pasta Joy Penne 500g,591.48,18.5,31.971891891891893,Pasta,Macaroni,31
2024-07-01,International Food Group,Pasta Joy Shells 500g,191.81,6.0,31.968333333333334,Pasta,Macaroni,32
2024-07-01,La Pasta Delizia,Serena Cannelloni Tubes 250g,34038.09,189.75,179.38387351778655,Pasta,Macaroni,33
2024-07-01,La Pasta Delizia,Serena Pasta Capelli DAngelo 500g,25476.33,182.0,139.97983516483518,Pasta,Macaroni,34
2024-07-01,MG Pasta,MG Pasta Capelli D Angelo Pasta 500g,28548.52,327.5,87.1710534351145,Pasta,Macaroni,35
2024-07-01,MG Pasta,MG Pasta Fusilli 500g,9748.02,163.5,59.620917431192666,Pasta,Macaroni,36
2024-07-01,MG Pasta,MG Pasta Fusilli Tricolor 500g,16879.41,290.5,58.10468158347676,Pasta,Macaroni,37
2024-07-01,MG Pasta,MG Pasta Macaroni 3Colour 500g,15920.22,268.0,59.40380597014925,Pasta,Macaroni,38
2024-07-01,MG Pasta,MG Pasta Macaroni Large 500g,46703.28,780.5,59.83764253683536,Pasta,Macaroni,39
2024-07-01,MG Pasta,MG Pasta Macaroni Whole Wheat 500g,35229.36,590.5,59.66022015241321,Pasta,Macaroni,40
2024-07-01,MG Pasta,MG Pasta Penne Rigate 500g,75380.85,1271.5,59.284978372001575,Pasta,Macaroni,41
2024-07-01,MG Pasta,MG Pasta Rigatoni 500g,119908.51,2054.5,58.36384035045023,Pasta,Macaroni,42
2024-07-01,MG Pasta,MG Pasta Shells 500g,62285.75,1056.0,58.982717803030305,Pasta,Macaroni,43
2024-07-01,Misko,Misko Bows 500g,449.69,7.5,59.958666666666666,Pasta,Macaroni,44
2024-07-01,Misko,Misko Chilopittes 500g,199.92,2.0,99.96,Pasta,Macaroni,45
2024-07-01,Misko,Misko Corali 500g,599.63,10.0,59.963,Pasta,Macaroni,46
2024-07-01,Misko,Misko Extrafino No.12 500g,864.65,15.5,55.78387096774193,Pasta,Macaroni,47
2024-07-01,Misko,Misko Macaroni 500g,27.98,0.5,55.96,Pasta,Macaroni,48
2024-07-01,Misko,Misko Penne Rigate 500g,1705.94,30.0,56.86466666666667,Pasta,Macaroni,49
2024-07-01,Misko,Misko Rigatoni 500g,329.82,5.5,59.96727272727273,Pasta,Macaroni,50
2024-07-01,Misko,Misko Risoni Large 500g,539.72,9.0,59.96888888888889,Pasta,Macaroni,51
2024-07-01,Misko,Misko Risoni Medium 500g,989.42,16.5,59.96484848484848,Pasta,Macaroni,52
2024-07-01,Misko,Misko Shells 500g,449.71,7.5,59.96133333333333,Pasta,Macaroni,53
2024-07-01,Misko,Misko Stars 500g,746.53,12.5,59.7224,Pasta,Macaroni,54
2024-07-01,Misko,Misko Tubetti Kofto 500g,329.79,5.5,59.96181818181819,Pasta,Macaroni,55
2024-07-01,Misko,Misko Twirls 500g,209.86,3.5,59.96,Pasta,Macaroni,56
2024-07-01,Mr Pasta,Mr Pasta Cavatappi Pasta 500g,648636.95,18865.0,34.38308772859793,Pasta,Macaroni,57
2024-07-01,Mr Pasta,Mr Pasta Elbow Macaroni 500g,503906.9,14785.5,34.08115383314734,Pasta,Macaroni,58
2024-07-01,Mr Pasta,Mr Pasta Macaroni 1ea,1214.97,0.0,,Pasta,Macaroni,59
2024-07-01,Mr Pasta,Mr Pasta Macaroni 3kg,2435455.07,86190.0,28.256817148161037,Pasta,Macaroni,60
2024-07-01,Mr Pasta,Mr Pasta Macaroni 500g,5410451.71,201852.5,26.80398662389616,Pasta,Macaroni,61
2024-07-01,Mr Pasta,Mr Pasta Pipe Rigate 500g,492016.1,14267.0,34.48630405831639,Pasta,Macaroni,62
2024-07-01,Mr Pasta,Mr Pasta Screws 500g,1181017.58,33979.5,34.756767462734885,Pasta,Macaroni,63
2024-07-01,Mr Pasta,Mr Pasta Tricolor 500g,528.71,1.5,352.47333333333336,Pasta,Macaroni,64
2024-07-01,Namib Mills,Polana Elbows 250g,2463.49,123.25,19.987748478701825,Pasta,Macaroni,65
2024-07-01,Namib Mills,Polana Elbows 500g,175.82,5.5,31.967272727272725,Pasta,Macaroni,66
2024-07-01,Namib Mills,Polana Fusilli 500g,132082.98,3660.0,36.08824590163935,Pasta,Macaroni,67
2024-07-01,Namib Mills,Polana Macaroni 1kg,838.58,18.0,46.58777777777778,Pasta,Macaroni,68
2024-07-01,Namib Mills,Polana Macaroni 250g,157.83,4.25,37.1364705882353,Pasta,Macaroni,69
2024-07-01,Namib Mills,Polana Macaroni 3kg,97597.66,2937.0,33.230391556009536,Pasta,Macaroni,70
2024-07-01,Namib Mills,Polana Macaroni 500g,344343.02,11173.0,30.819208806945316,Pasta,Macaroni,71
2024-07-01,Namib Mills,Polana Pasta Fusilli 2kg,35882.6,1028.0,34.905252918287935,Pasta,Macaroni,72
2024-07-01,Namib Mills,Polana Penne Rigate 500g,71.96,2.0,35.98,Pasta,Macaroni,73
2024-07-01,Namib Mills,Polana Shell Small 500g,123602.0,3352.5,36.868605518269945,Pasta,Macaroni,74
2024-07-01,Orexa,Orexa Conchiglie 500g,1106.21,20.5,53.961463414634146,Pasta,Macaroni,75
2024-07-01,Orexa,Orexa Ditali 500g,1376.12,25.5,53.96549019607843,Pasta,Macaroni,76
2024-07-01,Orexa,Orexa Farfale 500g,749.52,12.5,59.9616,Pasta,Macaroni,77
2024-07-01,Orexa,Orexa Fusilli 500g,1457.06,27.0,53.965185185185184,Pasta,Macaroni,78
2024-07-01,Orexa,Orexa Macaroni 500g,935.64,18.0,51.98,Pasta,Macaroni,79
2024-07-01,Orexa,Orexa Orzo Large 500g,1376.04,25.5,53.96235294117647,Pasta,Macaroni,80
2024-07-01,Orexa,Orexa Orzo Medium 500g,890.36,16.5,53.96121212121212,Pasta,Macaroni,81
2024-07-01,Orexa,Orexa Pastitsio 500g,935.64,18.0,51.98,Pasta,Macaroni,82
2024-07-01,Pasta Regalo,Pasta Regalo Tagliatelle Spinach 500g,42688.55,386.0,110.59209844559587,Pasta,Macaroni,83
2024-07-01,Pasta Regalo,Pasta Regalo W Wheat Maca 500g,50.0,1.0,50.0,Pasta,Macaroni,84
2024-07-01,Pastificio Fabianelli,Toscana Fusilli 1kg,316767.53,8579.0,36.92359599020865,Pasta,Macaroni,85
2024-07-01,Pastificio Fabianelli,Toscana Fusilli 500g,507988.24,13632.0,37.264395539906104,Pasta,Macaroni,86
2024-07-01,Pastificio Fabianelli,Toscana Macaroni 1kg,514603.07,13939.0,36.91822010187244,Pasta,Macaroni,87
2024-07-01,Pastificio Fabianelli,Toscana Macaroni 3kg,457448.6,13317.0,34.35072463768116,Pasta,Macaroni,88
2024-07-01,Pastificio Fabianelli,Toscana Macaroni 500g,594397.22,16040.0,37.05718329177057,Pasta,Macaroni,89
2024-07-01,Pastificio Fabianelli,Toscana Penne 1kg,347096.45,9392.0,36.95660668654174,Pasta,Macaroni,90
2024-07-01,Pastificio Fabianelli,Toscana Penne 500g,612125.57,16511.0,37.07380352492277,Pasta,Macaroni,91
2024-07-01,Pioneer Foods,Pasta Grande Elbows 500g,871.54,22.0,39.61545454545455,Pasta,Macaroni,92
2024-07-01,Pioneer Foods,Pasta Grande Macaroni 500g,1163.84,39.0,29.84205128205128,Pasta,Macaroni,93
2024-07-01,Pioneer Foods,Pasta Grande Pasta Triclor 500g,949522.44,26849.0,35.36528138850609,Pasta,Macaroni,94
2024-07-01,Pioneer Foods,Pasta Grande Screws 500g,79.92,2.5,31.968,Pasta,Macaroni,95
2024-07-01,Pioneer Foods,Pasta Grande Shells 500g,159.92,4.0,39.98,Pasta,Macaroni,96
2024-07-01,Private Label,Forage & Feast Canneloni 250g,73823.17,509.25,144.96449680903288,Pasta,Macaroni,97
2024-07-01,Private Label,Forage & Feast Casarecce 500g,47228.87,756.5,62.43076007931263,Pasta,Macaroni,98
2024-07-01,Private Label,Forage & Feast Conchiglioni 250g,33559.34,168.0,199.75797619047617,Pasta,Macaroni,99
2024-07-01,Private Label,Forage & Feast Fusilli 250g,9922.5,49.75,199.44723618090453,Pasta,Macaroni,100
2024-07-01,Private Label,Forage & Feast Lisci 250g,13866.18,69.5,199.51338129496403,Pasta,Macaroni,101
2024-07-01,Private Label,Forage & Feast Mezze Maniche 500g,145930.17,2038.5,71.58703458425313,Pasta,Macaroni,102
2024-07-01,Private Label,Forage & Feast Rigatoni 250g,13980.67,70.0,199.72385714285716,Pasta,Macaroni,103
